,display_name,Crownfunding,Lien,Don,Nb Tipers,Temps
0,ScienceEtonnante,['tipeee'],https://www.tipeee.com/science-etonnante,[],446,2022-04-18 10:41:58.867137
1,Kriss Papillon,['tipeee'],https://www.tipeee.com/kriss,"€1,322",300,2022-04-18 10:42:11.461213
2,MaxEstLa,['tipeee'],https://www.tipeeestream.com/maxestla/donation,[],[],2022-04-18 10:42:23.652013
3,Caljbeut,['tipeee'],https://www.tipeee.com/caljbeut-cartoons-trashs,€215,64,2022-04-18 10:42:35.455610
4,Laupok,['tipeee'],https://www.tipeee.com/laupok,[],[],2022-04-18 10:42:47.208110
5,Chocmiel,['tipeee'],http://tipeee.com/chocmiel,€0,0,2022-04-18 10:42:59.196589
6,Absol Vidéos,['tipeee'],https://www.tipeee.com/absol-videos,€79,36,2022-04-18 10:43:11.089425
7,Hygiène Mentale,['tipeee'],https://www.tipeee.com/hygiene-mentale,€913,361,2022-04-18 10:43:23.080024
8,Victor Ferry,['tipeee'],https://www.tipeee.com/l-artisanat-rhetorique,€219,65,2022-04-18 10:43:34.781722
9,Dan Field,['tipeee'],https://www.tipeee.com/danfield,€131,25,2022-04-18 10:43:46.791863
10,Linguisticae,['tipeee'],https://www.tipeee.com/linguisticae,€613,243,2022-04-18 10:43:59.352993
11,horror humanum est,['tipeee'],https://www.tipeee.com/h2e,[],[],2022-04-18 10:44:10.901311
12,Le Radis Irradié,['tipeee'],https://www.tipeee.com/le-radis-irradie,[],[],2022-04-18 10:44:22.457956
13,ALT 236,['tipeee'],https://www.tipeee.com/alt236,"€1,240",264,2022-04-18 10:44:34.314954
14,Partager C'est Sympa,['tipeee'],https://tipeee.com/partager-cest-sympa,"€4,536",782,2022-04-18 10:44:46.106905
15,Monsieur Phi,['tipeee'],https://www.tipeee.com/monsieurphi,"€1,118",343,2022-04-18 10:44:57.875134
16,Bronol,['tipeee'],https://fr.tipeee.com/bronol,60 €,17,2022-04-18 10:45:13.417331
17,Mind Parachutes,['tipeee'],http://www.tipeee.com/mind-parachutes,€8,7,2022-04-18 10:45:25.225197
18,SpaceBabiesTV - La chaîne des Parodies,['tipeee'],https://fr.tipeee.com/spacebabiestv,5 €,1,2022-04-18 10:45:37.497949
19,Bugland,['tipeee'],https://fr.tipeee.com/bugland,5 €,1,2022-04-18 10:45:49.222859
20,Echecs - Blitzstream,['tipeee'],https://www.tipeee.com/blitzstream,[],15,2022-04-18 10:46:00.993934
21,Rockstar Mag',['tipeee'],https://www.tipeee.com/rockstar-mag,€0,0,2022-04-18 10:46:12.987494
22,Le Tropeur,['tipeee'],https://www.tipeee.com/tropeur,€277,54,2022-04-18 10:46:24.645700
23,Jake - The Korean Dream,['tipeee'],https://fr.tipeee.com/the-korean-dream,[],10,2022-04-18 10:46:36.249738
24,Le Journal de l'Espace,['tipeee'],https://fr.tipeee.com/le-journal-de-lespace,126 €,36,2022-04-18 10:46:47.918717
25,DanyCaligula,['tipeee'],https://www.tipeee.com/danycaligula/,€282,64,2022-04-18 10:47:14.313148
26,Cookie connecté,['tipeee'],https://www.tipeee.com/cookie-connecte,€6,5,2022-04-18 10:47:26.161264
27,Apokalypt,['tipeee'],https://en.tipeee.com/mod-glitch,€0,0,2022-04-18 10:47:38.112750
28,CINEASTUCES,['tipeee'],http://www.tipeee.com/cineastuces,€13,4,2022-04-18 10:47:51.311111
29,Game Next Door,['tipeee'],https://www.tipeee.com/game-next-door,"€1,027",312,2022-04-18 10:48:04.045108
30,Mad Dog,['tipeee'],https://fr.tipeee.com/mad-dog,88 €,22,2022-04-18 10:48:27.024559
31,Maître Luger,['tipeee'],https://www.tipeee.com/maitre-luger,€83,25,2022-04-18 10:48:38.777269
32,Le paranormal du 24,['tipeee'],https://www.tipeee.com/leparanormaldu24,€30,2,2022-04-18 10:48:55.931615
33,Passe-Science,['tipeee'],https://www.tipeee.com/passe-science,€109,41,2022-04-18 10:49:14.031915
34,UnDropDansLaMare,['tipeee'],https://www.tipeee.com/undropdanslamare,[],[],2022-04-18 10:49:26.039814
35,Absol Human,['tipeee'],https://www.tipeee.com/absol-videos,€79,36,2022-04-18 10:49:37.882939
36,Oxem RPG,['tipeee'],https://fr.tipeee.com/oxem,81 €,7,2022-04-18 10:49:49.469772
37,Charlotte Hoefman,['tipeee'],https://fr.tipeee.com/charlotte-hoefman,352 €,30,2022-04-18 10:50:04.184699
38,Le Bizarreum,['tipeee'],https://fr.tipeee.com/le-bizarreum1,67 €,14,2022-04-18 10:50:36.551678
39,French Wargame Studio,['tipeee'],https://www.tipeee.com/french-wargame-studio,[],"1,207",2022-04-18 10:50:50.138267
40,GLG video,['tipeee'],https://www.tipeee.com/jt-geek-china,€104,29,2022-04-18 10:51:02.103067
41,Azrox Officiel,['tipeee'],https://en.tipeee.com/azrox,€0,0,2022-04-18 10:51:14.037508
42,Chat,['tipeee'],http://www.tipeee.com/chat,[],104,2022-04-18 10:51:26.584557
43,Gautier Veltri,['tipeee'],https://fr.tipeee.com/gautier-veltri,29 €,6,2022-04-18 10:51:38.397562
44,Mon Sport,['tipeee'],https://fr.tipeee.com/monsport,0 €,0,2022-04-18 10:51:52.819777
45,Long Range by The Choucroute Garage,['tipeee'],https://fr.tipeee.com/the-choucroute-garage/,155 €,31,2022-04-18 10:52:06.504289
46,Christopher Lannes,['tipeee'],https://www.tipeee.com/clannes,€9,3,2022-04-18 10:52:18.288664
47,Docteur Wrestling,['tipeee'],https://fr.tipeee.com/docteur-wrestling,0 €,0,2022-04-18 10:52:30.923703
48,Paf LeGeek,['tipeee'],https://www.tipeee.com/paf-legeek,€0,0,2022-04-18 10:52:42.539750
49,Le Chuchoteur ASMR,['tipeee'],https://www.tipeee.com/lechuchoteurasmr,€505,32,2022-04-18 10:52:54.239084
50,Le Petit Braquet,['tipeee'],https://fr.tipeee.com/le-petit-braquet,0 €,0,2022-04-18 10:53:10.552629
51,Oxem Mobile,['tipeee'],https://fr.tipeee.com/oxem,81 €,7,2022-04-18 10:53:22.084771
52,la chaine de matt,['tipeee'],https://fr.tipeee.com/la-chaine-de-matt,0 €,0,2022-04-18 10:53:33.704876
53,• Anima Equi •,['tipeee'],https://www.tipeee.com/anima-equi,€5,1,2022-04-18 10:53:45.887467
54,Nemellia,['tipeee'],https://www.tipeee.com/nemellia,[],[],2022-04-18 10:53:57.501016
55,Sunday,['tipeee'],https://www.tipeee.com/detectivesunday​,€1,1,2022-04-18 10:54:09.237867
56,Les Tabliers Ronds,['tipeee'],https://fr.tipeee.com/les-tabliers-ronds,15 €,2,2022-04-18 10:54:21.268176
57,FranckConnection,['tipeee'],https://www.tipeee.com/qte,€11,2,2022-04-18 10:54:34.758263
58,Kat,['tipeee'],https://fr.tipeee.com/kat,0 €,0,2022-04-18 10:54:46.512784
59,M1ck3y 2.0,['tipeee'],https://fr.tipeee.com/mickey_mafia,0 €,0,2022-04-18 10:54:59.919292
60,NowSprings,['tipeee'],https://fr.tipeee.com/nowsprings,[],1,2022-04-18 10:55:11.390232
61,Le Serial Gamer,['tipeee'],https://fr.tipeee.com/le-serial-gamer,0 €,0,2022-04-18 10:55:22.973969
62,Concrètement Moi,['tipeee'],http://fr.tipeee.com/concretementmoi,2 €,1,2022-04-18 10:55:34.646048
63,L'instant Gaming,['tipeee'],https://www.tipeeestream.com/linstantgaming/donation,[],[],2022-04-18 10:55:46.006730
64,MIMAJIT,['tipeee'],https://www.tipeee.com/mimajit.,[],[],2022-04-18 10:55:58.081347
65,Megavolt de GameZik,['tipeee'],http://www.tipeee.com/gamezik,€0,0,2022-04-18 10:56:10.000486
66,COMPO PIANO,"['tipeee', 'tipeee']",https://fr.tipeee.com/compo-piano,0 €,0,2022-04-18 10:56:21.971729
67,COMPO PIANO,"['tipeee', 'tipeee']",https://fr.tipeee.com/compo-piano,0 €,0,2022-04-18 10:56:33.509331
68,La Magie des Moldus,['tipeee'],https://fr.tipeee.com/la-magie-des-moldus,0 €,0,2022-04-18 10:56:51.931551
69,PhœnixProduction,['tipeee'],https://www.tipeee.com/phoenixproduction,[],[],2022-04-18 10:57:04.036366
70,Rachou Off,['tipeee'],https://www.tipeeestream.com/rachouoff/donation,[],[],2022-04-18 10:57:15.483503
71,Falkanox,['tipeee'],https://fr.tipeee.com/je-dois-me-nourrir,0 €,0,2022-04-18 10:57:28.966941
72,Picoteen / Yoshinoo,"['tipeee', 'tipeee']",https://www.tipeee.com/picoteen-s-tipeee,€0,0,2022-04-18 10:57:40.828068
73,Tony et ses pensées,['tipeee'],https://fr.tipeee.com/tony-et-ses-pensees,[],[],2022-04-18 10:57:52.349263
