,display_name,Crownfunding,Lien
0,ScienceEtonnante,['tipeee'],"['http://sciencetonnante.wordpress.com', 'https://www.tipeee.com/science-etonnante']"
1,Kriss Papillon,['tipeee'],['https://www.tipeee.com/kriss']
2,MaxEstLa,['tipeee'],['https://www.tipeeestream.com/maxestla/donation']
3,Caljbeut,['tipeee'],"['https://www.facebook.com/CaljbeutCartoonsTrashs', 'https://www.tipeee.com/caljbeut-cartoons-trashs', 'https://twitter.com/caljbeut']"
4,Laupok,['tipeee'],"['tipeee.com/laupok', 'facebook.com/laupok', 'twitter.com/laupokHF']"
5,Chocmiel,['tipeee'],"['http://bit.ly/chocmiel', 'https://linktr.ee/Chocmiel', 'http://tipeee.com/chocmiel', 'https://goo.gl/jS5c1a', 'https://www.youtube.com/user/Chocmiel/videos?sort=p&view=0&shelf_id=10']"
6,Absol Vidéos,['tipeee'],"['https://www.youtube.com/AbsolHuman', 'https://www.twitch.tv/absolhuman', 'https://discord.com/invite/GNmtN5z', 'http://instagram.com/absol_videos', 'https://www.facebook.com/Absol.Videos', 'https://twitter.com/Absol_Videos', 'https://www.tipeee.com/absol-videos', 'https://www.utip.io/absolvideos']"
7,Hygiène Mentale,['tipeee'],"['https://www.youtube.com/hygiénementale', 'https://www.facebook.com/HygieneMentale', 'https://twitter.com/HygieneMentale', 'https://liberapay.com/hygienementale/', 'https://www.tipeee.com/hygiene-mentale', 'http://www.utip.io/HygieneMentale', 'http://laelith.fr/Zet', 'http://zetetique.fr']"
8,Victor Ferry,['tipeee'],"['http://rhetorical-craft.com/fr/', 'https://www.tipeee.com/l-artisanat-rhetorique']"
9,Dan Field,['tipeee'],"['https://utip.io/danfield', 'https://www.tipeee.com/danfield', 'https://discord.gg/danfield', 'https://twitter.com/danfield_yt']"
10,Linguisticae,['tipeee'],"['https://www.tipeee.com/linguisticae', 'https://www.facebook.com/Linguisticae', 'https://twitter.com/linguisticae', 'http://twitch.tv/montedelinguisticae', 'https://www.youtube.com/channel/UCo1zPlQvMGsYRL1Vz0Jg-Qg']"
11,horror humanum est,['tipeee'],"['http://www.horrorhumanumest.info', 'https://www.tipeee.com/h2e']"
12,Le Radis Irradié,['tipeee'],"['https://twitter.com/laurenzo_92', 'https://twitter.com/radtvcontact', 'https://www.tipeee.com/le-radis-irradie', 'https://twitter.com/LeRadisIrradie', 'https://www.instagram.com/le_radis_irradie/']"
13,ALT 236,['tipeee'],['https://www.tipeee.com/alt236']
14,Partager C'est Sympa,['tipeee'],"['https://tipeee.com/partager-cest-sympa', 'https://www.facebook.com/PartagerCestSympa', 'https://www.instagram.com/partager_cest_sympa/', 'https://twitter.com/PartagerCSympa']"
