,wa_id,Crownfunding,Lien,Don,Nb Abo,Temps
0,827244,utip,https://utip.io/polodebile,[],525,2022-04-18 17:36:34.682944
1,472023,utip,https://www.utip.io/audreyinho,[],66,2022-04-18 17:36:41.380028
2,492762,utip,https://utip.io/coaen,[],188,2022-04-18 17:36:48.067540
3,1194593,utip,https://utip.io/jolate,[],5 893,2022-04-18 17:36:54.555474
4,1638391,utip,https://utip.io/gotabor,[],1 859,2022-04-18 17:37:01.363153
5,711734,utip,https://utip.io/feral,[],147,2022-04-18 17:37:08.208492
6,807867,utip,https://utip.io/bakabooâ\x80\x8bâ\x80\x8bâ\x80\x8b,[],[],2022-04-18 17:37:14.567274
7,2196974,utip,https://utip.io/fautosh,[],1 542,2022-04-18 17:37:21.506037
8,1937099,utip,https://utip.io/mxcordelia,[],1 296,2022-04-18 17:37:28.224059
9,2196077,utip,https://utip.io/thejacquart,[],19,2022-04-18 17:37:34.568292
10,2276626,utip,http://www.utip.io/sora,[],18 152,2022-04-18 17:37:41.468685
11,2209794,utip,https://utip.io/ravenrust,[],649,2022-04-18 17:37:48.587517
12,151536,utip,https://utip.io/frtc/home,[],2 880,2022-04-18 17:37:55.315907
13,2238163,utip,https://utip.io/rushmanga,[],5 652,2022-04-18 17:38:02.206909
14,488800,utip,https://utip.io/TipJuJuBaby,[],1 022,2022-04-18 17:38:08.645361
15,1056995,utip,https://utip.io/Maxyoo28,[],11,2022-04-18 17:38:15.598583
16,1196516,utip,https://www.utip.io/wotan,[],1 171,2022-04-18 17:38:22.113003
17,1601044,utip,https://utip.io/nelsju,[],3,2022-04-18 17:38:28.968012
18,148890,utip,https://www.utip.io/nadiarichard,[],403,2022-04-18 17:38:35.481413
19,297982,utip,https://utip.io/counterfx,[],105,2022-04-18 17:38:41.983207
20,165252,utip,https://utip.io/thoz,[],160,2022-04-18 17:38:48.733085
21,1025804,utip,https://utip.io/elwaen,[],106,2022-04-18 17:38:56.665396
22,404164,utip,https://www.utip.io/ATOM_VISUAL,[],7 062,2022-04-18 17:39:04.064726
23,362589,utip,https://utip.io/theskyline35,[],239,2022-04-18 17:39:10.970972
24,850457,utip,https://utip.io/s/BUXflR,[],[],2022-04-18 17:39:17.723780
25,1022154,utip,https://www.utip.io/mcskyz,[],11 818,2022-04-18 17:39:25.703480
26,2299695,utip,https://utip.io/quaquoum,[],449,2022-04-18 17:39:32.699064
27,2194158,utip,https://utip.io/thevivi,[],4 022,2022-04-18 17:39:39.663902
28,620126,utip,https://utip.io/indeday,[],136,2022-04-18 17:39:46.535579
29,389611,utip,https://www.utip.io/torna,[],37,2022-04-18 17:39:53.442449
30,2168913,utip,https://www.utip.io/RaAaK,[],8 512,2022-04-18 17:40:00.122283
31,873458,utip,https://utip.io/ironarc,[],0,2022-04-18 17:40:06.871328
32,683655,utip,https://www.utip.io/s/ODB0nx,[],[],2022-04-18 17:40:13.692607
33,785549,utip,https://www.utip.io/Realken7,[],10 026,2022-04-18 17:40:21.250918
34,754943,utip,https://www.utip.io/lecostard,[],1 010,2022-04-18 17:40:28.193207
35,2192976,utip,https://utip.io/thyner,[],20,2022-04-18 17:40:34.840523
36,1244559,utip,https://www.utip.io/pointdevueotaku,[],[],2022-04-18 17:40:42.354232
37,1234525,utip,https://utip.io/thespiritben,[],222,2022-04-18 17:40:49.809016
38,398407,utip,https://utip.io/sauvaneetlesinternets,[],1 058,2022-04-18 17:40:58.959657
39,345087,utip,https://www.utip.io/monsieursushi,[],39,2022-04-18 17:41:06.155101
40,1896620,utip,https://utip.io/iGatzze,[],16,2022-04-18 17:41:14.847887
41,2294265,utip,http://utip.io/bastos,[],505,2022-04-18 17:41:21.516697
42,1724029,utip,https://utip.io/coupable,[],535,2022-04-18 17:41:28.297089
43,2091645,utip,https://utip.io/mrratsuper,[],[],2022-04-18 17:41:35.510311
44,1267452,utip,https://utip.io/jday,[],7 221,2022-04-18 17:41:43.939549
45,665701,utip,https://utip.io/directlemedia,[],[],2022-04-18 17:41:51.605884
46,2321870,utip,https://utip.io/paultrinchini,[],217,2022-04-18 17:41:59.432829
47,471926,utip,https://utip.io/tylton,[],147,2022-04-18 17:42:06.598601
48,1156970,utip,https://utip.io/linhthuu,[],131,2022-04-18 17:42:13.939516
49,2283373,utip,http://utip.io/sylvqin,[],4 099,2022-04-18 17:42:20.674274
50,434086,utip,https://utip.io/beautyanchor,[],35,2022-04-18 17:42:27.751338
51,2350362,utip,https://utip.io/lechtigamer,[],2,2022-04-18 17:42:34.464924
52,760533,utip,https://utip.io/salade93,[],1 016,2022-04-18 17:42:40.954419
53,516597,utip,https://www.utip.io/anthoxcolatips,[],14 559,2022-04-18 17:42:48.269531
54,2242601,utip,https://utip.io/doubledragonworkoutâ\x80\x8b,[],[],2022-04-18 17:42:54.623331
55,613955,utip,http://www.utip.io/orelly,[],790,2022-04-18 17:43:01.403657
56,255408,utip,http://utip.io/psiclo,[],957,2022-04-18 17:43:08.156727
57,2120584,utip,https://utip.io/paradix,[],6,2022-04-18 17:43:15.015747
58,673704,utip,https://utip.io/caramellapassions,[],31,2022-04-18 17:43:21.905947
59,80300,utip,https://utip.io/mush,[],791,2022-04-18 17:43:28.984334
60,481898,utip,https://utip.io/natomix,[],821,2022-04-18 17:43:35.733915
61,1776276,utip,https://utip.io/amhinataros,[],[],2022-04-18 17:43:43.008060
62,1869257,utip,http://utip.io/Bennnzz,[],1 915,2022-04-18 17:43:49.784221
63,847605,utip,https://utip.io/pwnz,[],534,2022-04-18 17:43:56.455121
64,449963,utip,https://utip.io/syplay/home,[],2 579,2022-04-18 17:44:03.007716
65,2234896,utip,https://utip.io/zeimeur,[],3,2022-04-18 17:44:11.209154
66,174438,utip,https://utip.io/gakiparody,[],2 160,2022-04-18 17:44:18.168995
67,1363319,utip,https://utip.io/nano,[],[],2022-04-18 17:44:24.740524
68,2162866,utip,https://utip.io/v/q2YEIgUS,[],[],2022-04-18 17:44:31.946643
69,2246879,utip,https://utip.io/feed/mrcrafteur,[],442,2022-04-18 17:44:38.950572
70,318992,utip,https://utip.io/hubertaile,[],142,2022-04-18 17:44:46.111638
71,588867,utip,https://www.utip.io/chrisâ\x80\x8bâ\x80\x8b,[],[],2022-04-18 17:44:53.175706
72,2319209,utip,https://utip.io/sussucre,[],3 119,2022-04-18 17:44:59.968364
73,270992,utip,https://utip.io/Mixst,[],1 097,2022-04-18 17:45:07.728269
74,496218,utip,https://utip.io/feed/mafiastunting,[],997,2022-04-18 17:45:14.496114
75,204153,utip,https://www.utip.io/desastreshow/shop,[],746,2022-04-18 17:45:20.839275
76,1697394,utip,https://utip.io/sonyalwu,[],1 807,2022-04-18 17:45:27.313945
77,336710,utip,https://utip.io/thomvstwittos,[],15,2022-04-18 17:45:34.041496
78,2247157,utip,https://utip.io/paradox,[],334,2022-04-18 17:45:41.078565
79,357192,utip,https://utip.io/merj1,[],293,2022-04-18 17:45:48.605299
80,458,utip,https://utip.io/tuturval,[],200,2022-04-18 17:45:56.118113
81,337785,utip,https://utip.io/illusdidi,[],12,2022-04-18 17:46:03.087899
82,771,utip,https://utip.io/darkyholmes,[],8,2022-04-18 17:46:09.536144
83,2195765,utip,https://utip.io/raphaelcarel,[],45,2022-04-18 17:46:16.877252
84,601991,utip,https://utip.io/derrierelesfagots,[],67,2022-04-18 17:46:23.888183
85,2256341,utip,https://www.utip.io/aymenz3r,[],2 115,2022-04-18 17:46:31.558256
86,406876,utip,https://www.utip.io/2kclash,[],554,2022-04-18 17:46:38.535082
