,wa_id,Crownfunding,Lien,Don,Nb Tipers,Temps
0,827244,utip,https://utip.io/polodebile,[],525,2022-04-16 18:23:07.106870
1,472023,utip,https://www.utip.io/audreyinho,[],66,2022-04-16 18:23:19.455242
2,492762,patreon,https://www.patreon.com/JulioNIB,[],[],2022-04-16 18:23:32.856461
3,1194593,paypal,https://www.paypal.me/youtubeur725,[],[],2022-04-16 18:23:39.697091
4,1638391,tipeee,https://www.tipeee.com/ben-n-coâ\x80\x8bâ\x80\x8bâ\x80\x8bâ\x80\x8bâ\x80\x8bâ\x80\x8bâ\x80\x8b,[],[],2022-04-16 18:23:46.058058
5,711734,utip,https://utip.io/coaen,[],188,2022-04-16 18:23:56.758739
6,807867,utip,https://utip.io/jolate,[],5 893,2022-04-16 18:24:04.809512
7,2196974,utip,https://utip.io/gotabor,[],1 859,2022-04-16 18:24:16.820567
8,1937099,tipeee,https://www.numerama.com/politique/737996-contenus-extremes-complotisme-utip-est-il-plus-ethique-que-tipeee.html,[],[],2022-04-16 18:24:23.952042
9,2196077,ulule,https://fr.ulule.com/teddyboy-kitsune/,[],[],2022-04-16 18:24:31.447226
10,2276626,utip,https://utip.io/feral,[],147,2022-04-16 18:24:40.455312
11,2209794,paypal,https://www.paypal.me/kikle,[],[],2022-04-16 18:24:47.195472
12,151536,kickstarter,https://www.kickstarter.com/projects/playway/dinosaur-fossil-hunter,[],[],2022-04-16 18:24:53.061049
13,2238163,utip,https://utip.io/bakabooâ\x80\x8bâ\x80\x8bâ\x80\x8b,[],[],2022-04-16 18:25:00.668782
14,488800,tipeee,https://fr.tipeee.com/naturi-ebene,[],19,2022-04-16 18:25:09.325721
15,1056995,kickstarter,https://www.kickstarter.com/projects/strayfawnstudio/adam-plushies?fbclid=IwAR0qNM7yWSi6SP7oCIb_RcFttTq10xXKJaVdaP3IkJF6KB8Z6xD8WRzYouQ,[],[],2022-04-16 18:25:15.263357
16,1196516,utip,https://utip.io/fautosh,[],1 542,2022-04-16 18:25:25.910899
17,1601044,utip,https://utip.io/mxcordelia,[],1 296,2022-04-16 18:25:37.480546
18,148890,tipeee,https://www.tipeee.com/snir-gaming,€0,0,2022-04-16 18:25:44.344395
19,297982,patreon,https://www.patreon.com/Francois_Sutter,[],[],2022-04-16 18:25:53.756259
20,165252,ulule,https://fr.ulule.com/tubonia-tome-2,[],[],2022-04-16 18:26:01.406583
21,1025804,tipeee,https://fr.tipeee.com/herve-body-concept,0 €,0,2022-04-16 18:26:08.418943
22,404164,utip,https://utip.io/thejacquart,[],19,2022-04-16 18:26:20.610651
23,362589,ulule,https://fr.ulule.com/demains-volunteers-edition2,[],[],2022-04-16 18:26:28.159201
24,850457,tipeee,https://www.tipeee.com/wonder-hook,€0,0,2022-04-16 18:26:35.416832
25,1022154,utip,http://www.utip.io/sora,[],18 150,2022-04-16 18:26:49.649298
26,2299695,utip,https://utip.io/ravenrust,[],649,2022-04-16 18:26:58.914840
27,2194158,paypal,https://www.paypal.me/piwerreyt,[],[],2022-04-16 18:27:06.435794
28,620126,tipeee,https://fr.tipeee.com/cypaubr,0 €,0,2022-04-16 18:27:17.050151
29,389611,tipeee,https://fr.tipeee.com/prise-at-sensation,0 €,0,2022-04-16 18:27:25.400563
30,2168913,tipeee,https://fr.tipeee.com/yoshushikaofficiel,0 €,0,2022-04-16 18:27:38.230872
31,873458,tipeee,https://www.tipeee.com/sarayah-le-testeur-inde,€0,0,2022-04-16 18:27:45.331478
32,683655,utip,https://utip.io/frtc/home,[],2 879,2022-04-16 18:27:57.173173
33,785549,tipeee,https://www.tipeee.com/dk-1,€0,0,2022-04-16 18:28:04.172836
34,754943,tipeee,https://www.tipeee.com/l-apaise,[],9,2022-04-16 18:28:11.435453
35,2192976,utip,https://utip.io/rushmanga,[],5 652,2022-04-16 18:28:22.491647
36,1244559,tipeee,https://fr.tipeee.com/jurassikytb,33 €,12,2022-04-16 18:28:30.018434
37,1234525,utip,https://utip.io/TipJuJuBaby,[],1 022,2022-04-16 18:28:38.454348
38,398407,utip,https://utip.io/Maxyoo28,[],11,2022-04-16 18:28:50.187568
39,345087,utip,https://www.utip.io/wotan,[],1 170,2022-04-16 18:28:59.438836
40,1896620,paypal,https://www.paypal.com/pools/c/8orNuXmPxn,[],[],2022-04-16 18:29:22.903731
41,2294265,paypal,https://www.paypal.me/assoperipleties,[],[],2022-04-16 18:29:30.606702
42,1724029,tipeee,https://www.tipeee.com/simplexpaleo,€256,35,2022-04-16 18:29:41.831106
43,2091645,tipeee,https://fr.tipeee.com/destination-camping-car,0 €,0,2022-04-16 18:29:52.501383
44,1267452,kisskissbankbank,https://www.kisskissbankbank.com/en/projects/ernest-et-rebecca,[],[],2022-04-16 18:30:02.911048
45,665701,paypal,https://www.paypal.com/paypalme/Nicomouk9,[],[],2022-04-16 18:30:10.509316
46,2321870,tipeee,https://fr.tipeee.com/jeremy-compiegneâ\x80\x8b,[],[],2022-04-16 18:30:17.317796
47,471926,utip,https://utip.io/nelsju,[],3,2022-04-16 18:30:28.729061
48,1156970,paypal,https://www.paypal.me/benoit4android,[],[],2022-04-16 18:30:35.423334
49,2283373,utip,https://www.utip.io/nadiarichard,[],403,2022-04-16 18:30:44.274545
50,434086,tipeee,https://www.tipeee.com/game-movie-land,€16,4,2022-04-16 18:30:51.517244
51,2350362,tipeee,https://en.tipeee.com/ayeah,€92,47,2022-04-16 18:30:58.329882
52,760533,tipeee,https://www.tipeee.com/le-corps-la-maison-l-esprit,€66,12,2022-04-16 18:31:05.996246
53,516597,paypal,https://www.paypal.com/donate/?cmd=_s-xclick&hosted_button_id=5E68UWPNW8LRW,[],[],2022-04-16 18:31:14.268291
54,2242601,utip,https://utip.io/counterfx,[],105,2022-04-16 18:31:22.828564
55,613955,utip,https://utip.io/thoz,[],160,2022-04-16 18:31:32.335347
56,255408,utip,https://utip.io/elwaen,[],106,2022-04-16 18:31:51.043795
57,2120584,utip,https://www.utip.io/ATOM_VISUAL,[],7 062,2022-04-16 18:32:08.950860
58,673704,paypal,https://www.paypal.me/clashunmax?locale.x=fr_FR,[],[],2022-04-16 18:32:16.063061
59,80300,paypal,https://www.paypal.com/donate/?token=zPfz_L-3G1DmgYeyBR88ui8IZ35RRY8dljDgFo7tYIOciBGFNcOYzsJMYzZdLVAJnV04MG&country.x=FR&locale.x=FR,[],[],2022-04-16 18:32:22.459297
60,481898,utip,https://utip.io/theskyline35,[],239,2022-04-16 18:32:31.328642
61,1776276,tipeee,https://www.tipeee.com/qte,€11,2,2022-04-16 18:32:38.475596
62,1869257,ulule,https://fr.ulule.com/pates-a-tartiner-louarnes,[],[],2022-04-16 18:32:46.978876
63,847605,patreon,https://www.patreon.com/posts/47318850,[],[],2022-04-16 18:32:52.841653
64,449963,utip,https://utip.io/s/BUXflR,[],[],2022-04-16 18:33:01.519105
65,2234896,tipeee,https://fr.tipeee.com/aude,[],[],2022-04-16 18:33:09.031681
66,174438,utip,https://www.utip.io/mcskyz,[],11 815,2022-04-16 18:33:25.982631
67,1363319,utip,https://utip.io/quaquoum,[],449,2022-04-16 18:33:35.451517
68,2162866,utip,https://utip.io/thevivi,[],4 022,2022-04-16 18:33:44.588268
69,2246879,utip,https://utip.io/indeday,[],137,2022-04-16 18:33:54.539025
70,318992,tipeee,https://www.tipeee.com/thomas-vernant,€5,1,2022-04-16 18:34:02.898671
71,588867,ulule,https://www.ulule.com/inernet-collecte,[],[],2022-04-16 18:34:10.937296
72,2319209,paypal,https://www.paypal.com/donate/?hosted_button_id=KB42FF7L79W34,[],[],2022-04-16 18:34:19.203571
73,270992,utip,https://www.utip.io/torna,[],37,2022-04-16 18:34:31.357377
74,496218,tipeee,https://fr.tipeee.com/game-cross-movie,0 €,0,2022-04-16 18:34:39.711648
75,204153,utip,https://www.utip.io/RaAaK,[],8 513,2022-04-16 18:34:48.937878
76,1697394,ulule,https://fr.ulule.com/woman-up/supporters,[],[],2022-04-16 18:34:57.204253
77,336710,utip,https://utip.io/ironarc,[],0,2022-04-16 18:35:09.046967
78,2247157,paypal,https://www.paypal.com/us/home,[],[],2022-04-16 18:35:15.820745
79,357192,utip,https://www.utip.io/s/ODB0nx,[],[],2022-04-16 18:35:25.035991
80,458,ulule,https://fr.ulule.com/padg,[],[],2022-04-16 18:35:32.977718
81,337785,kickstarter,https://www.kickstarter.com/projects/projectwraith/project-wraith?lang=fr,[],[],2022-04-16 18:35:39.190609
82,771,utip,https://www.utip.io/Realken7,[],10 023,2022-04-16 18:35:52.127874
83,2195765,utip,https://www.utip.io/lecostard,[],1 009,2022-04-16 18:36:04.734600
84,601991,utip,https://utip.io/thyner,[],20,2022-04-16 18:36:13.809785
85,2256341,paypal,https://www.paypal.me/boulyprod,[],[],2022-04-16 18:36:20.949491
86,406876,utip,https://www.utip.io/pointdevueotaku,[],[],2022-04-16 18:36:29.081873
87,1308529,tipeee,https://www.tipeee.com/arcana-mysteres-du-monde,"€1,909",227,2022-04-16 18:36:36.330844
88,3629,tipeee,https://en.tipeee.com/mrbboy45,€0,0,2022-04-16 18:36:44.032784
89,439641,utip,https://utip.io/thespiritben,[],222,2022-04-16 18:36:54.837980
90,2303018,utip,https://utip.io/sauvaneetlesinternets,[],1 058,2022-04-16 18:37:12.654936
91,234879,utip,https://www.utip.io/monsieursushi,[],39,2022-04-16 18:37:24.334284
92,1045931,utip,https://utip.io/iGatzze,[],16,2022-04-16 18:37:33.748367
93,2166690,utip,http://utip.io/bastos,[],505,2022-04-16 18:37:42.935560
94,2248847,utip,https://utip.io/coupable,[],535,2022-04-16 18:37:53.211092
95,1028,tipeee,https://fr.tipeee.com/noob-light-novels-encyclopedie,1 406 €,243,2022-04-16 18:38:01.174387
96,3500,utip,https://utip.io/mrratsuper,[],[],2022-04-16 18:38:10.264483
