nom_chaine,video_ID,video_titre,date_publi,delta_jour,duree_live,total_don,nbr_don,mean_don,mean_don_heure,nbr_view,nbr_like,nbr_com_live
Université de Technologie de Troyes,-7XQ0pRMomA,Live QX01 : Chapter 10 : On the Schrodinger Equation for Quantum Technologies,2021-05-18,319,3473.0,0.0,0,0.0,0.0,255,6.0,0
Université de Technologie de Troyes,xs31lYQ2iLU,Live course QX01 : Chapter 9 partie 1 : Deutsch's algorithm,2021-05-11,326,3310.0,0.0,0,0.0,0.0,230,4.0,0
Université de Technologie de Troyes,yEb2_UY-3ow,Live course QX01 : Chapter 8 : Quantum Algorithms & Quantum Parallelism,2021-05-04,333,6914.0,0.0,0,0.0,0.0,356,5.0,0
Université de Technologie de Troyes,Podq2qNjxMM,Live course QX01 : Chapter 6 : Quantum Gates,2021-04-06,361,6994.0,0.0,0,0.0,0.0,323,7.0,0
Université de Technologie de Troyes,6GO3IL4W-SE,"UTT :: Tout savoir sur la ""la soutenabilité et le développement durable""",2021-04-03,364,2846.0,0.0,0,0.0,0.0,197,7.0,0
Université de Technologie de Troyes,I9iRhLXaksw,Live course QX01 Chapter 5 : Measurements and Operators,2021-03-23,375,6909.0,0.0,0,0.0,0.0,392,11.0,0
Université de Technologie de Troyes,1Lst16BPsdI,Live course QX01 Chapter 4 : Multiple Qubits and Entanglement,2021-03-16,382,6936.0,0.0,0,0.0,0.0,486,13.0,0
Université de Technologie de Troyes,VNSnRIOuIxc,"UTT :: Tout savoir sur la ""l'International et l'EUT+""",2021-03-10,388,1912.0,0.0,0,0.0,0.0,264,7.0,0
Université de Technologie de Troyes,vK8qhLk2TWo,Live course QX01 Chapter 3 : THE QUBIT,2021-03-09,389,7002.0,0.0,0,0.0,0.0,609,16.0,0
Université de Technologie de Troyes,lkTQSkH6jVc,Live course  QX01 chapter 2 :  Classical Information & Computation,2021-02-23,403,6942.0,0.0,0,0.0,0.0,905,32.0,1
Université de Technologie de Troyes,R6-zMZpwYds,Live course QX01 Chapter 1:  Introduction to quantum information & associated technologies,2021-02-17,409,6373.0,0.0,0,0.0,0.0,2615,67.0,2
Université de Technologie de Troyes,lpmwoGOfXhE,"UTT :: Tout savoir sur la ""l'Insertion professionnelle, les stages et l'entrepreneuriat""",2021-02-16,410,2572.0,0.0,0,0.0,0.0,339,5.0,0
Université de Technologie de Troyes,ojkesmcRDG4,UTT - Le parcours ingénieur Bac+2 -  Spécialités MTE et MM,2020-12-12,476,3741.0,0.0,0,0.0,0.0,49312,35.0,0
Université de Technologie de Troyes,sHrbCfeeD7M,UTT - Le parcours ingénieur Bac+2 -  Spécialités ISI et RT,2020-12-11,477,3168.0,0.0,0,0.0,0.0,63787,34.0,0
Université de Technologie de Troyes,z4dqs83WfCc,UTT - Le parcours ingénieur Bac+2 -  Spécialités A2i et GM,2020-12-10,478,4340.0,0.0,0,0.0,0.0,67251,17.0,2
Call of Duty: Quartier Général,X2PACIRWthU,[LIVE 🔴] CALL OF DUTY: VANGUARD - MULTIJOUEURS  REVEAL ! 🔥,2021-09-07,207,2735.0,59.97,3,19.99,78.94,12559,458.0,19
Call of Duty: Quartier Général,YBJcnXnmP0Y,[LIVE 🔴] CALL OF DUTY: VANGUARD - ÉVÈNEMENT REVEAL ! 🔥,2021-08-19,226,3029.0,1.99,1,1.99,2.37,16395,555.0,24
Call of Duty: Quartier Général,lML_DfMTd6w,[LIVE 🔴] DÉCOUVERTE ÉVÈNEMENT *NOUVELLE * MAP VERDANSK 84 PARTIE 2 !,2021-04-22,345,6026.0,0.0,0,0.0,0.0,28526,716.0,36
Call of Duty: Quartier Général,w_JygXs8S-E,[LIVE 🔴] ÉVÈNEMENT NUCLÉAIRE WARZONE - *NOUVELLE * MAP VERDANSK '84 !,2021-04-21,346,4985.0,6.0,2,3.0,4.33,45690,572.0,43
Call of Duty: Quartier Général,ffzPB5_X3Pw,"[LIVE 🔴] COD: Black Ops Cold War ""WONDER WEAPON"" Zombies Gameplay !",2020-11-12,506,5656.0,0.0,0,0.0,0.0,10639,218.0,19
