nom_chaine,video_ID,video_titre,date_publi,delta_jour,duree_live,total_don,nbr_don,mean_don,mean_don_heure,nbr_view,nbr_like,nbr_com_live
Michou,NBcUl3oCUug,TOURNOIS TIRAGE TRIPLE POUR M'ENTRAÎNER AVANT LE TOURNOIS D'INOXTAG ! (Clash Royale),2022-02-28,33,7705.0,161.89,48,3.37,75.64,403257,30298,160
Michou,qenUHy8e4XQ,JE REDÉCOUVRE SUPER MARIO MAKER 2 ! (vous me dites ce qu'on fait),2022-02-26,35,9658.0,131.89,44,3.0,49.16,449667,25114,452
Michou,I7oTq8i9yoE,SOIRÉE CLASH ROYALE ! (vous me dites ce qu'on fait),2022-02-26,35,19525.0,259.12,81,3.2,47.78,637305,37454,104
Michou,bNaNLCUPH64,ON S'AFFRONTE SUR LES JEUX DE NOTRE ENFANCE AVEC AMARU ! (ça va être marrant mdrrrr),2022-02-08,53,11621.0,364.83,96,3.8,113.02,877894,52010,360
Michou,Pei5CPhYzsU,JE VEUX DEVENIR JOUEUR PRO SUR CE JEU ! (Clash Royale),2022-02-08,53,9821.0,234.75,63,3.73,86.05,483877,30954,88
Michou,pqGerv_SZi0,ÉNORME PACK OPENING NIVEAU 14 POUR DÉBLOQUER MON PREMIER CHAMPION SUR CLASH ROYALE ! (oh bordel),2022-02-04,57,7400.0,217.51,55,3.95,105.82,447540,33817,138
Michou,9u1zTePZTbQ,JE FAIS LE TOURNOI ROYAL SUR CLASH ROYALE ! (je veux devenir joueur pro),2022-02-01,60,6440.0,192.62,35,5.5,107.68,378255,26209,176
Michou,8WGgcmFrAh4,JE DÉCOUVRE LE NOUVEAU POKÉMON LÉGENDES ARCEUS ! (il a l'air incroyable),2022-01-28,64,8927.0,229.82,44,5.22,92.68,308223,18022,112
Michou,hqvf_Pvyjwo,JE DÉCOUVRE LA PREMIERE BOÎTE RÉGALOUZZ ! (et après on se fait un pack opening clash royale),2022-01-26,66,5035.0,51.53,20,2.58,36.84,528124,38796,231
Michou,wZUKnm0zo-g,JE M'ENTRAÎNE POUR LE TOURNOIS D'INOXTAG SUR CLASH ROYALE ! (je veux rouler sur tout le monde),2022-01-25,67,10918.0,325.51,59,5.52,107.33,589121,34822,73
Michou,kgt2XBsgbtI,LOUP GAROU sur MINECRAFT pour la SOIRÉE DU JEUDI DE SQUEEZIE ! (oh bordel je suis nul moi),2022-01-18,74,13786.0,273.3,48,5.69,71.37,609308,35480,119
Michou,jcshh0ICCzI,TILTED TOWERS EST DE RETOUR SUR FORTNITE ! (on découvre ça),2022-01-15,77,3295.0,223.47,49,4.56,244.16,517830,36926,576
Inoxtag,GFK-iC_uuHs,"Je suis de retours en live ou pas (Derniere live avant 1 semaine mdrr y'a PARIS ROUBAIX, je repars)",2022-02-28,33,10872.0,520.24,130,4.0,172.26,599281,34874,217
Inoxtag,8lhs9IY8044,Clash Royale ! Tournois avec les abo pour gagner une place dans les BACK STAGE du prochain tournois!,2022-02-18,43,7662.0,172.41,43,4.01,81.01,381437,25459,189
Inoxtag,ZH1LyZtnRDQ,Objectif TOP 1 TILTED et Clash Royale 22H30 !,2022-02-17,44,17311.0,718.73,179,4.02,149.47,688824,43302,374
Inoxtag,Xw4XIGSvuWU,Radio Libre ! Vous racontez des Histoires effrayante ! (invité suprise 21h30),2022-02-13,48,15020.0,607.32,174,3.49,145.56,897961,61472,576
Inoxtag,YkoqTG08hzk,Soirée Fortnite avec Gota ! (Combat Clash Royale 22h),2022-01-31,61,12254.0,917.63,208,4.41,269.58,681225,40966,151
Inoxtag,tRBOGTdW-FE,Go faire du sale à Tilted ! (21h30 entrainement pour le tournois Clash Royale de demain),2022-01-25,67,11866.0,803.23,191,4.21,243.69,631878,39311,204
Inoxtag,qtpoK_uKe5g,On détruit tilted avec Gota (22h30 ClahsRoyale),2022-01-21,71,11005.0,392.14,133,2.95,128.28,685709,39719,295
Inoxtag,HBZslQ7TVH8,"Loup Garou Minecraft (Ft. Mich, Squeezie, Kameto, Gota, Lock, Little BigWhale)",2022-01-20,72,13680.0,336.2,104,3.23,88.47,627595,37452,115
Inoxtag,FyD3SAIUKns,Le retour de Tilted Tower ! On va laver ça avec GOTA ! (22h ClashRoyale),2022-01-19,73,20133.0,710.85,187,3.8,127.11,1013802,55168,191
Inoxtag,cn2-pOxZ--o,Libre Antenne: On parle de L'amour ! (Vos anecdotes),2022-01-12,80,10523.0,1041.86,258,4.04,356.43,856266,65264,512
