nom_chaine,video_ID,video_titre,date_publi,delta_jour,duree_live,total_don,nbr_don,mean_don,mean_don_heure,nbr_view,nbr_like,nbr_com_live
Mcfly et Carlito,a9eUpDo2mf8,La Traversée,2021-09-11,194,12381.0,0,0,0,0.0,6092580,166890,2137
Mcfly et Carlito,hLq-DMPwHy8,LE MARADON : une journée en live pour les hôpitaux de France | #TousMobilisés,2020-04-02,721,40680.0,289982.42,31809,9.12,25662.16,5355323,,2567
Mcfly et Carlito,FuFjLL7gKv4,ON DEBRIEF LE BAC !,2019-06-24,1004,3395.0,809.01,113,7.16,857.86,4992952,165909,11847
Michou,i4dvMiSAh90,🔴 JE SUIS DEVENU TROP FORT SUR FORTNITE BATTLE ROYALE !!!,2018-07-21,1342,14874.0,618.15,127,4.87,149.61,830650,35923,1715
Michou,RGpuNNXpaNk,"CROÛTON GAME SHOW #6 !!! (Mini jeux, défis sur fortnite créatif)",2019-02-17,1131,15528.0,284.07,81,3.51,65.86,1354642,37606,833
Michou,mv0jS18kKMY,LES 14 JOURS DE FORTNITE ONT COMMENCÉ SUR FORTNITE BATTLE ROYALE !!!,2018-12-19,1191,7726.0,818.89,81,10.11,381.57,770804,24823,1537
Michou,WP8ynhABiaQ,🔴 FORTNITE ! LE PIRE NOOB VA FAIRE DU TOP 1 EN MASSE SUR FORTNITE BATTLE ROYALE !!!,2018-05-27,1397,20664.0,1287.68,99,13.01,224.33,549513,29692,447
Michou,CBxtGom67eI,FORTNITE ! ÇA PART EN SOLO POUR DU TOP 1 SUR FORTNITE BATTLE ROYALE !!!,2018-06-16,1377,9128.0,232.45,61,3.81,91.68,320648,15090,431
Michou,WJfnaUt_Atk,🔴 J'AI ACHETÉ LE MEILLEUR SKIN POUR TOP 1 SUR FORTNITE BATTLE ROYALE !!!,2018-08-10,1322,10063.0,326.81,121,2.7,116.92,521290,26512,1034
Michou,HzNhFVrNadI,🔴 LA FRANCE EST CHAMPIONNE DU MONDE POUR FÊTER ÇA TOP 1 SUR FORTNITE BATTLE ROYALE !!!,2018-07-16,1347,12991.0,629.05,67,9.39,174.32,840557,30898,1358
Michou,qnQQmAuDm8E,🔴 FORTNITE ! LE RETOUR DU DUO AVEC BOBBY LE MONSTRE DU TOP 1 SUR FORTNITE BATTLE ROYALE !!!,2018-05-24,1400,5799.0,838.97,68,12.34,520.83,1104973,55898,958
Michou,YWdBQJE7Q38,🔴 TOURNOIS MARIO KART 8 DELUXE ENTRE YOUTUBEURS SUR NINTENDO SWITCH !!!,2018-09-23,1278,15114.0,169.31,41,4.13,40.33,938207,31357,550
Michou,nnZmBHhTg68,🔴 CECI EST UN LIVE DE MOI SUR FORTNITE BATTLE ROYALE !!!,2018-06-09,1384,10635.0,170.61,73,2.34,57.75,443521,25939,551
Michou,nV6_36e4oN0,🔴 FORTNITE ! ON ATTENDS LES RÉSULTATS DU BAC A 16H SUR FORTNITE BATTLE ROYALE !!!,2018-07-11,1352,8806.0,249.09,49,5.08,101.83,430699,21210,780
Michou,QOzC3skPzM0,DÉFIS D'HIVER EXCLUSIF SEMAINE 1 SUR FORTNITE !!!,2018-12-24,1186,3089.0,148.35,16,9.27,172.89,413437,19584,1136
Michou,KDTVKaNPNS4,🔴 CETTE NOUVELLE ARME EST TROP CHEATÉ SUR FORTNITE BATTLE ROYALE !!!,2018-07-18,1345,15823.0,566.2,107,5.29,128.82,699339,27811,1004
Michou,BgvVl7llJ28,J'AI RÉCUPERER MON PSEUDO ET MES V-BUCKS SUR FORTNITE BATTLE ROYALE !!!,2018-04-21,1433,13949.0,361.98,62,5.84,93.42,586562,43529,700
Michou,hPGYtyhvdl4,SOIRÉE SPÉCIAL CROÛTON GAME SHOW AVEC DES INVITÉS DE FOLIE EN DUO  SUR FORTNITE !!! #MieMapShow,2019-07-11,987,18318.0,301.48,58,5.2,59.25,1419016,44423,760
Michou,tgYtidN1CZg,🔴 FORTNITE ! J'HÉSITE À ACHETER LE NOUVEL IPHONE XS MAX !!!,2018-09-13,1288,10657.0,217.28,71,3.06,73.4,577466,35609,613
Michou,Gh-bv9RPWG0,🔴 FORTNITE ! JE TESTE LE NOUVEAU FUSIL D'ASSAUT VISEUR THERMIQUE SUR FORTNITE BATTLE ROYALE !!!,2018-06-11,1382,10827.0,241.99,66,3.67,80.46,897277,37159,1209
Michou,_Q0kVPxXm80,🔴 FORTNITE ! J'AI PERDU MES CHEVEUX A CAUSE DE DOC JAZY SUR FORTNITE BATTLE ROYALE !!!,2018-06-18,1375,4322.0,40.41,14,2.89,33.66,263135,14569,246
Michou,tPFolwvBBiU,🔴 JE PARTICIPE AU FALL SKIRMISH SUR FORTNITE BATTLE ROYALE !!!,2018-10-19,1252,13343.0,76.7,17,4.51,20.69,879610,20559,413
PSG - Paris Saint-Germain,TVqtD7a9_HI,📍 Avant match Paris Saint-Germain v Manchester City en direct du Parc des Princes 🔴🔵,2021-09-28,177,2732.0,0,0,0,0.0,390132,15118,206
PSG - Paris Saint-Germain,8W-XICuOmBM,⚽️ Conférence de presse en direct du Parc des Princes avant Paris Saint-Germain - Manchester City 🔴🔵,2021-09-27,178,3235.0,0,0,0,0.0,126075,4714,149
PSG - Paris Saint-Germain,iU2mGMEiWdI,⚽️ Séance de reprise pour les joueurs du Paris Saint-Germain 🔴🔵,2021-07-05,262,4150.0,0,0,0,0.0,189647,4225,101
PSG - Paris Saint-Germain,f0HVYvIl654,⚽️ Avant match Paris Saint-Germain - AS Saint-Etienne  en direct du Parc des Princes 🔴🔵,2022-02-26,26,4477.0,0,0,0,0.0,109295,4791,47
PSG - Paris Saint-Germain,NseghBzWTtU,⚽️ Avant match Champions League en direct de Manchester  🔴🔵,2021-11-24,120,2881.0,0,0,0,0.0,189412,8602,119
PSG - Paris Saint-Germain,MtczfyfiCU4,⚽️🎙 Veille de match au Jan Breydel Stadion de Bruges 🔴🔵,2021-09-14,191,4768.0,0,0,0,0.0,515087,22427,242
PSG - Paris Saint-Germain,gldHIBr0mLQ,🎙 Conférence de presse avant le déplacement à Monaco 🔴🔵,2020-11-19,490,2055.0,0,0,0,0.0,19760,890,35
PSG - Paris Saint-Germain,BUCW-qDP0PM,⚽️ Pre match live from the Parc des Princes before Paris Saint-Germain - Girondins de Bordeaux 🔴🔵,2022-03-13,11,3749.0,0,0,0,0.0,80804,3605,86
